Submission Date & Time,Issue Type,Urgency,Priority,Description Details,Resolution Time (Hours)
2024-10-02 03:10:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,89.0
2024-10-02 00:10:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,3.4
2024-10-01 11:54:00,Configuration Change,Critical,Medium,Default description of configuration change with critical urgency.,1.9
2024-10-02 07:32:00,Compliance Check,Critical,Medium,Default description of compliance check with critical urgency.,2.3
2024-10-02 01:55:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,9.3
2024-10-02 02:23:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,6.1
2024-10-01 18:18:00,Configuration Change,Critical,Low,Default description of configuration change with critical urgency.,3.0
2024-10-02 07:30:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,2.5
2024-10-01 11:53:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,13.9
2024-10-01 21:48:00,Hardware Failure,Low,High,Default description of hardware failure with low urgency.,3.1
2024-10-01 17:53:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,57.0
2024-10-01 20:16:00,Data Discrepancy,Critical,Medium,Default description of data discrepancy with critical urgency.,3.9
2024-10-01 17:15:00,Bug Report,Routine,High,Default description of bug report with routine urgency.,1.9
2024-10-01 13:15:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,23.8
2024-10-01 23:58:00,Access Request,Moderate,Medium,Default description of access request with moderate urgency.,8.7
2024-10-01 13:26:00,User Inquiry,Routine,Low,Default description of user inquiry with routine urgency.,81.1
2024-10-02 02:39:00,System Outage,Critical,Medium,Default description of system outage with critical urgency.,1.3
2024-10-01 15:08:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,40.1
2024-10-01 09:30:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,5.4
2024-10-01 15:22:00,Hardware Failure,High,Medium,Default description of hardware failure with high urgency.,8.9
2024-10-01 13:44:00,Compliance Check,Moderate,Low,Default description of compliance check with moderate urgency.,12.0
2024-10-02 06:16:00,Hardware Failure,High,High,Default description of hardware failure with high urgency.,3.3
2024-10-01 08:27:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,2.2
2024-10-01 15:19:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,1.2
2024-10-01 16:07:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,5.9
2024-10-02 07:12:00,Software Update,Moderate,High,Default description of software update with moderate urgency.,1.8
2024-10-01 19:53:00,Maintenance Task,Routine,Low,Default description of maintenance task with routine urgency.,29.5
2024-10-01 09:12:00,Feature Request,Low,Low,Default description of feature request with low urgency.,36.1
2024-10-01 18:59:00,Compliance Check,High,High,Default description of compliance check with high urgency.,3.3
2024-10-01 22:12:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,9.8
2024-10-01 15:06:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,6.1
2024-10-02 00:43:00,System Outage,Routine,Low,Default description of system outage with routine urgency.,42.7
2024-10-02 04:34:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,1.5
2024-10-01 10:49:00,User Inquiry,Low,Medium,Default description of user inquiry with low urgency.,9.7
2024-10-01 21:21:00,Feature Request,Low,Medium,Default description of feature request with low urgency.,5.8
2024-10-01 18:02:00,Access Request,High,Medium,Default description of access request with high urgency.,7.4
2024-10-01 21:31:00,Feature Request,Scheduled,High,Default description of feature request with scheduled urgency.,3.4
2024-10-01 21:49:00,Bug Report,Low,Low,Default description of bug report with low urgency.,42.4
2024-10-02 00:19:00,Security Incident,High,Medium,Default description of security incident with high urgency.,8.3
2024-10-02 04:23:00,Software Update,High,Low,Default description of software update with high urgency.,5.5
2024-10-01 20:46:00,Software Update,Critical,High,Default description of software update with critical urgency.,1.6
2024-10-01 16:42:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,6.8
2024-10-01 11:41:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,1.3
2024-10-01 15:03:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,2.0
2024-10-02 03:46:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,67.8
2024-10-01 20:17:00,User Inquiry,Scheduled,Medium,Default description of user inquiry with scheduled urgency.,11.7
2024-10-02 02:22:00,System Outage,High,High,Default description of system outage with high urgency.,3.5
2024-10-02 07:48:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,69.8
2024-10-01 10:48:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,3.5
2024-10-01 17:20:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,3.2
2024-10-02 03:50:00,Bug Report,Low,Low,Default description of bug report with low urgency.,48.2
2024-10-01 15:52:00,Data Discrepancy,High,High,Default description of data discrepancy with high urgency.,1.1
2024-10-02 06:48:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,3.7
2024-10-01 08:14:00,Feature Request,High,Low,Default description of feature request with high urgency.,5.8
2024-10-01 13:39:00,System Outage,Moderate,Low,Default description of system outage with moderate urgency.,22.8
2024-10-01 18:29:00,Access Request,High,Low,Default description of access request with high urgency.,7.8
2024-10-01 23:31:00,Configuration Change,Routine,Medium,Default description of configuration change with routine urgency.,9.3
2024-10-01 19:48:00,Access Request,Low,Medium,Default description of access request with low urgency.,4.9
2024-10-01 13:53:00,Feature Request,Scheduled,Medium,Default description of feature request with scheduled urgency.,10.6
2024-10-01 15:42:00,Access Request,High,High,Default description of access request with high urgency.,3.5
2024-10-01 13:02:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,1.9
2024-10-01 14:02:00,Compliance Check,Critical,Medium,Default description of compliance check with critical urgency.,2.0
2024-10-02 02:27:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,7.4
2024-10-01 18:11:00,Maintenance Task,Routine,High,Default description of maintenance task with routine urgency.,2.9
2024-10-02 04:47:00,System Outage,High,High,Default description of system outage with high urgency.,1.6
2024-10-01 12:53:00,Maintenance Task,Low,High,Default description of maintenance task with low urgency.,1.6
2024-10-01 20:23:00,Configuration Change,Moderate,Low,Default description of configuration change with moderate urgency.,12.5
2024-10-01 15:00:00,Bug Report,Critical,Low,Default description of bug report with critical urgency.,2.9
2024-10-01 13:37:00,Performance Issue,Routine,Medium,Default description of performance issue with routine urgency.,11.4
2024-10-01 17:01:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,53.7
2024-10-02 06:40:00,Data Discrepancy,Scheduled,Low,Default description of data discrepancy with scheduled urgency.,30.1
2024-10-01 08:26:00,Bug Report,Critical,High,Default description of bug report with critical urgency.,2.4
2024-10-01 22:24:00,Maintenance Task,Critical,High,Default description of maintenance task with critical urgency.,2.6
2024-10-01 15:44:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,41.1
2024-10-01 22:13:00,Performance Issue,High,Low,Default description of performance issue with high urgency.,11.7
2024-10-02 05:26:00,Feature Request,Scheduled,Medium,Default description of feature request with scheduled urgency.,11.7
2024-10-01 16:04:00,System Outage,Low,Low,Default description of system outage with low urgency.,62.1
2024-10-02 03:30:00,Bug Report,High,Low,Default description of bug report with high urgency.,8.2
2024-10-02 02:14:00,Configuration Change,Low,High,Default description of configuration change with low urgency.,1.4
2024-10-01 11:07:00,Performance Issue,Low,Low,Default description of performance issue with low urgency.,87.5
2024-10-01 21:47:00,Compliance Check,Critical,Low,Default description of compliance check with critical urgency.,2.7
2024-10-01 16:48:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,35.0
2024-10-01 14:00:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,70.2
2024-10-01 21:14:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,1.5
2024-10-02 01:54:00,System Outage,Critical,Low,Default description of system outage with critical urgency.,3.3
2024-10-02 05:13:00,Bug Report,Critical,Medium,Default description of bug report with critical urgency.,3.6
2024-10-01 09:57:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,1.7
2024-10-02 03:28:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,14.3
2024-10-01 23:10:00,Feature Request,Moderate,High,Default description of feature request with moderate urgency.,1.4
2024-10-01 23:05:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,96.0
2024-10-01 16:07:00,Maintenance Task,Routine,Medium,Default description of maintenance task with routine urgency.,8.1
2024-10-01 22:11:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,2.7
2024-10-02 04:20:00,Bug Report,Moderate,Low,Default description of bug report with moderate urgency.,23.1
2024-10-01 10:15:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,2.7
2024-10-02 06:19:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,1.9
2024-10-02 03:09:00,Maintenance Task,Routine,High,Default description of maintenance task with routine urgency.,2.8
2024-10-01 14:18:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,3.6
2024-10-01 10:36:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,2.6
2024-10-02 04:23:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,28.9
2024-10-02 01:39:00,Feature Request,Scheduled,Low,Default description of feature request with scheduled urgency.,62.8
2024-10-01 13:16:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,19.3
2024-10-02 06:56:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,3.6
2024-10-02 03:16:00,System Outage,Scheduled,High,Default description of system outage with scheduled urgency.,1.6
2024-10-01 23:20:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,47.7
2024-10-01 10:24:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,4.4
2024-10-01 21:20:00,Maintenance Task,Low,Medium,Default description of maintenance task with low urgency.,10.5
2024-10-01 15:41:00,Security Incident,High,Low,Default description of security incident with high urgency.,10.2
2024-10-01 08:11:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,36.6
2024-10-02 02:51:00,Configuration Change,High,Medium,Default description of configuration change with high urgency.,11.1
2024-10-01 09:17:00,Access Request,Routine,Medium,Default description of access request with routine urgency.,4.3
2024-10-02 07:55:00,System Outage,Low,Low,Default description of system outage with low urgency.,67.9
2024-10-01 16:30:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,3.5
2024-10-01 15:02:00,Software Update,Low,High,Default description of software update with low urgency.,3.3
2024-10-02 05:42:00,Access Request,Routine,High,Default description of access request with routine urgency.,2.9
2024-10-01 20:11:00,Access Request,Scheduled,High,Default description of access request with scheduled urgency.,2.5
2024-10-01 18:04:00,Access Request,Moderate,High,Default description of access request with moderate urgency.,3.4
2024-10-01 09:44:00,Feature Request,Scheduled,Low,Default description of feature request with scheduled urgency.,42.5
2024-10-01 22:12:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,2.7
2024-10-01 13:19:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,2.7
2024-10-01 18:09:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,26.9
2024-10-02 06:43:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,1.4
2024-10-02 00:57:00,Software Update,Low,High,Default description of software update with low urgency.,1.0
2024-10-02 00:52:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,19.6
2024-10-02 06:00:00,Maintenance Task,Scheduled,Low,Default description of maintenance task with scheduled urgency.,44.1
2024-10-01 08:01:00,Compliance Check,Low,High,Default description of compliance check with low urgency.,1.4
2024-10-01 21:45:00,Configuration Change,Moderate,Low,Default description of configuration change with moderate urgency.,16.1
2024-10-01 21:36:00,Access Request,Scheduled,High,Default description of access request with scheduled urgency.,1.1
2024-10-02 03:31:00,Software Update,Routine,Medium,Default description of software update with routine urgency.,11.4
2024-10-01 22:14:00,Configuration Change,Routine,High,Default description of configuration change with routine urgency.,3.7
2024-10-02 02:13:00,Feature Request,Moderate,Medium,Default description of feature request with moderate urgency.,7.3
2024-10-02 04:59:00,Security Incident,Low,High,Default description of security incident with low urgency.,3.5
2024-10-02 05:34:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,11.3
2024-10-02 03:06:00,Maintenance Task,Moderate,Medium,Default description of maintenance task with moderate urgency.,4.6
2024-10-01 22:21:00,Maintenance Task,Scheduled,Low,Default description of maintenance task with scheduled urgency.,76.4
2024-10-02 00:25:00,Security Incident,Low,Medium,Default description of security incident with low urgency.,10.9
2024-10-02 06:25:00,User Inquiry,High,Low,Default description of user inquiry with high urgency.,5.0
2024-10-02 01:56:00,Feature Request,Low,High,Default description of feature request with low urgency.,2.4
2024-10-01 16:31:00,Bug Report,Routine,Medium,Default description of bug report with routine urgency.,10.3
2024-10-02 03:03:00,User Inquiry,Scheduled,Medium,Default description of user inquiry with scheduled urgency.,7.9
2024-10-01 17:14:00,Access Request,Critical,Low,Default description of access request with critical urgency.,2.5
2024-10-01 10:25:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,6.6
2024-10-01 15:19:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,12.9
2024-10-02 02:03:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,2.2
2024-10-01 13:47:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,27.8
2024-10-01 17:58:00,System Outage,Critical,High,Default description of system outage with critical urgency.,1.8
2024-10-02 06:03:00,Configuration Change,Scheduled,Low,Default description of configuration change with scheduled urgency.,85.0
2024-10-01 14:10:00,Bug Report,High,Low,Default description of bug report with high urgency.,11.1
2024-10-02 01:48:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,19.5
2024-10-01 21:57:00,Maintenance Task,Critical,High,Default description of maintenance task with critical urgency.,3.1
2024-10-02 03:34:00,Configuration Change,Scheduled,Medium,Default description of configuration change with scheduled urgency.,4.6
2024-10-01 15:01:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,6.3
2024-10-01 17:35:00,System Outage,High,Medium,Default description of system outage with high urgency.,9.0
2024-10-01 17:47:00,Software Update,Moderate,Medium,Default description of software update with moderate urgency.,6.3
2024-10-01 20:51:00,Compliance Check,High,High,Default description of compliance check with high urgency.,3.7
2024-10-01 08:16:00,Data Discrepancy,Routine,Low,Default description of data discrepancy with routine urgency.,51.2
2024-10-01 11:52:00,Bug Report,Moderate,Medium,Default description of bug report with moderate urgency.,8.8
2024-10-01 21:39:00,Software Update,Routine,High,Default description of software update with routine urgency.,2.5
2024-10-01 22:01:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,3.9
2024-10-01 11:59:00,Access Request,Critical,Medium,Default description of access request with critical urgency.,1.0
2024-10-02 02:32:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,3.5
2024-10-01 11:05:00,Access Request,Low,High,Default description of access request with low urgency.,2.4
2024-10-02 03:30:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,8.1
2024-10-02 00:47:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,32.9
2024-10-01 16:16:00,Access Request,High,High,Default description of access request with high urgency.,3.5
2024-10-01 20:08:00,Access Request,Critical,Low,Default description of access request with critical urgency.,2.7
2024-10-01 22:27:00,Configuration Change,Low,High,Default description of configuration change with low urgency.,3.0
2024-10-01 12:21:00,Compliance Check,Low,Medium,Default description of compliance check with low urgency.,8.4
2024-10-01 12:58:00,Hardware Failure,Low,Low,Default description of hardware failure with low urgency.,75.0
2024-10-01 22:06:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,3.6
2024-10-01 19:09:00,Performance Issue,Moderate,Low,Default description of performance issue with moderate urgency.,12.7
2024-10-02 03:52:00,Maintenance Task,Moderate,Low,Default description of maintenance task with moderate urgency.,18.3
2024-10-01 11:00:00,Maintenance Task,Low,Medium,Default description of maintenance task with low urgency.,7.3
2024-10-02 00:02:00,Access Request,Low,Medium,Default description of access request with low urgency.,9.1
2024-10-02 07:09:00,Bug Report,High,Medium,Default description of bug report with high urgency.,5.6
2024-10-02 07:49:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,9.7
2024-10-01 23:31:00,User Inquiry,Critical,High,Default description of user inquiry with critical urgency.,2.6
2024-10-02 03:55:00,Feature Request,Low,Medium,Default description of feature request with low urgency.,9.2
2024-10-01 18:30:00,Feature Request,Routine,Low,Default description of feature request with routine urgency.,26.4
2024-10-02 03:23:00,Feature Request,Low,Low,Default description of feature request with low urgency.,54.5
2024-10-01 22:03:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,1.8
2024-10-02 07:28:00,System Outage,Moderate,Medium,Default description of system outage with moderate urgency.,8.0
2024-10-01 23:41:00,Compliance Check,Low,Low,Default description of compliance check with low urgency.,25.0
2024-10-01 11:29:00,Access Request,Low,Low,Default description of access request with low urgency.,94.6
2024-10-01 09:46:00,Configuration Change,Scheduled,Low,Default description of configuration change with scheduled urgency.,51.5
2024-10-01 14:31:00,Bug Report,Routine,Low,Default description of bug report with routine urgency.,50.4
2024-10-01 22:46:00,Software Update,Scheduled,Medium,Default description of software update with scheduled urgency.,9.2
2024-10-01 21:11:00,System Outage,Moderate,High,Default description of system outage with moderate urgency.,2.2
2024-10-01 19:15:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,2.4
2024-10-02 07:14:00,Hardware Failure,Routine,High,Default description of hardware failure with routine urgency.,2.7
2024-10-01 16:04:00,Compliance Check,Moderate,Low,Default description of compliance check with moderate urgency.,15.1
2024-10-01 16:20:00,Bug Report,Scheduled,Medium,Default description of bug report with scheduled urgency.,8.0
2024-10-01 22:42:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,3.7
2024-10-01 16:11:00,Software Update,High,High,Default description of software update with high urgency.,1.9
2024-10-01 20:18:00,Security Incident,Low,Medium,Default description of security incident with low urgency.,7.9
2024-10-01 09:20:00,Hardware Failure,High,Low,Default description of hardware failure with high urgency.,10.5
2024-10-01 11:35:00,Data Discrepancy,Critical,Medium,Default description of data discrepancy with critical urgency.,1.9
2024-10-01 16:49:00,Software Update,Low,Low,Default description of software update with low urgency.,63.2
2024-10-01 12:43:00,Software Update,Moderate,High,Default description of software update with moderate urgency.,2.8
2024-10-01 22:14:00,Bug Report,High,High,Default description of bug report with high urgency.,3.2
2024-10-01 12:57:00,Access Request,Critical,High,Default description of access request with critical urgency.,3.2
2024-10-01 14:46:00,Configuration Change,Routine,High,Default description of configuration change with routine urgency.,4.0
2024-10-02 04:29:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,26.8
2024-10-01 13:45:00,Data Discrepancy,High,Low,Default description of data discrepancy with high urgency.,7.5
2024-10-01 11:53:00,Compliance Check,High,High,Default description of compliance check with high urgency.,3.8
2024-10-02 01:50:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,78.2
2024-10-01 18:05:00,Access Request,High,Medium,Default description of access request with high urgency.,30.9
2024-10-01 14:04:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,85.2
2024-10-01 09:14:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,56.1
2024-10-01 21:59:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,48.6
2024-10-02 06:10:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,42.7
2024-10-01 09:43:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,60.8
2024-10-02 04:26:00,User Inquiry,Routine,Low,Default description of user inquiry with routine urgency.,60.3
2024-10-02 05:54:00,Compliance Check,High,High,Default description of compliance check with high urgency.,46.3
2024-10-01 23:47:00,Configuration Change,Routine,High,Default description of configuration change with routine urgency.,55.0
2024-10-01 19:29:00,Data Discrepancy,High,Low,Default description of data discrepancy with high urgency.,85.7
2024-10-02 04:16:00,Software Update,Routine,Low,Default description of software update with routine urgency.,68.5
2024-10-01 20:33:00,Bug Report,Moderate,Medium,Default description of bug report with moderate urgency.,80.8
2024-10-01 16:22:00,Compliance Check,Routine,Low,Default description of compliance check with routine urgency.,61.0
2024-10-01 10:58:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,42.1
2024-10-01 22:37:00,System Outage,Critical,Medium,Default description of system outage with critical urgency.,57.6
2024-10-01 23:37:00,Bug Report,Critical,Low,Default description of bug report with critical urgency.,51.6
2024-10-01 21:46:00,System Outage,Critical,Low,Default description of system outage with critical urgency.,95.9
2024-10-02 04:20:00,Software Update,High,High,Default description of software update with high urgency.,56.8
2024-10-01 12:21:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,38.2
2024-10-01 16:08:00,Maintenance Task,Low,Medium,Default description of maintenance task with low urgency.,56.6
2024-10-01 14:17:00,Security Incident,Scheduled,High,Default description of security incident with scheduled urgency.,42.7
2024-10-01 18:25:00,Data Discrepancy,High,Low,Default description of data discrepancy with high urgency.,81.6
2024-10-01 19:32:00,Maintenance Task,Routine,Medium,Default description of maintenance task with routine urgency.,62.4
2024-10-01 23:23:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,44.3
2024-10-02 01:04:00,Configuration Change,Scheduled,Medium,Default description of configuration change with scheduled urgency.,26.8
2024-10-02 03:00:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,38.1
2024-10-02 03:39:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,34.3
2024-10-02 06:32:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,74.5
2024-10-01 19:48:00,Software Update,Moderate,Medium,Default description of software update with moderate urgency.,27.0
2024-10-01 18:25:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,87.8
2024-10-02 02:47:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,76.3
2024-10-01 23:20:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,37.3
2024-10-01 20:30:00,Hardware Failure,High,Low,Default description of hardware failure with high urgency.,41.0
2024-10-02 00:49:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,61.2
2024-10-01 21:43:00,Feature Request,Routine,Medium,Default description of feature request with routine urgency.,84.3
2024-10-02 00:13:00,Bug Report,Moderate,Medium,Default description of bug report with moderate urgency.,74.3
2024-10-02 05:12:00,Feature Request,Routine,Low,Default description of feature request with routine urgency.,45.1
2024-10-01 23:50:00,Software Update,Moderate,High,Default description of software update with moderate urgency.,82.3
2024-10-02 06:55:00,Performance Issue,High,High,Default description of performance issue with high urgency.,83.8
2024-10-02 04:55:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,47.0
2024-10-02 02:58:00,Performance Issue,Scheduled,High,Default description of performance issue with scheduled urgency.,48.3
2024-10-01 18:54:00,Maintenance Task,Scheduled,High,Default description of maintenance task with scheduled urgency.,76.1
2024-10-02 05:37:00,Bug Report,Critical,High,Default description of bug report with critical urgency.,54.0
2024-10-01 17:40:00,Security Incident,Scheduled,High,Default description of security incident with scheduled urgency.,59.4
2024-10-01 08:52:00,Compliance Check,Low,High,Default description of compliance check with low urgency.,51.3
2024-10-02 04:40:00,Software Update,Critical,High,Default description of software update with critical urgency.,62.7
2024-10-02 03:08:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,64.6
2024-10-01 20:18:00,Feature Request,High,Medium,Default description of feature request with high urgency.,76.1
2024-10-02 01:28:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,85.3
2024-10-01 09:03:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,51.5
2024-10-01 20:47:00,Bug Report,High,High,Default description of bug report with high urgency.,29.9
2024-10-01 17:46:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,92.0
2024-10-01 12:38:00,Software Update,Scheduled,Low,Default description of software update with scheduled urgency.,74.7
2024-10-01 10:08:00,Performance Issue,Moderate,High,Default description of performance issue with moderate urgency.,42.4
2024-10-02 06:53:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,25.4
2024-10-02 04:58:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,56.1
2024-10-02 00:34:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,88.7
2024-10-02 06:00:00,Software Update,Low,High,Default description of software update with low urgency.,77.7
2024-10-01 13:30:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,73.9
2024-10-02 05:09:00,Performance Issue,Low,Medium,Default description of performance issue with low urgency.,78.8
2024-10-01 21:30:00,Security Incident,High,High,Default description of security incident with high urgency.,32.6
2024-10-02 00:12:00,Access Request,Low,Low,Default description of access request with low urgency.,73.8
2024-10-01 14:46:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,30.4
2024-10-01 12:05:00,Software Update,Low,High,Default description of software update with low urgency.,49.9
2024-10-02 06:18:00,Performance Issue,Low,Medium,Default description of performance issue with low urgency.,44.3
2024-10-01 14:29:00,Hardware Failure,Low,Medium,Default description of hardware failure with low urgency.,84.4
2024-10-01 17:56:00,User Inquiry,Scheduled,High,Default description of user inquiry with scheduled urgency.,52.3
2024-10-02 02:30:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,42.6
2024-10-01 20:48:00,Bug Report,Routine,Medium,Default description of bug report with routine urgency.,89.4
2024-10-01 14:21:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,82.0
2024-10-02 03:11:00,Configuration Change,Routine,High,Default description of configuration change with routine urgency.,43.0
2024-10-02 06:55:00,Data Discrepancy,Scheduled,High,Default description of data discrepancy with scheduled urgency.,85.3
2024-10-01 13:11:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,48.1
2024-10-02 05:18:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,77.0
2024-10-01 23:09:00,Maintenance Task,Routine,High,Default description of maintenance task with routine urgency.,80.0
2024-10-02 01:09:00,User Inquiry,Moderate,High,Default description of user inquiry with moderate urgency.,71.7
2024-10-01 12:59:00,Security Incident,Scheduled,High,Default description of security incident with scheduled urgency.,43.6
2024-10-01 09:08:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,83.1
2024-10-01 21:33:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,87.2
2024-10-01 19:52:00,Feature Request,Scheduled,Low,Default description of feature request with scheduled urgency.,44.7
2024-10-02 02:15:00,System Outage,Low,Medium,Default description of system outage with low urgency.,77.8
2024-10-02 05:16:00,Data Discrepancy,Routine,Low,Default description of data discrepancy with routine urgency.,50.6
2024-10-01 13:57:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,30.4
2024-10-02 02:09:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,30.2
2024-10-02 03:49:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,25.8
2024-10-02 03:05:00,Software Update,Routine,High,Default description of software update with routine urgency.,66.3
2024-10-02 04:39:00,Feature Request,Low,Low,Default description of feature request with low urgency.,71.6
2024-10-02 05:54:00,Compliance Check,Routine,High,Default description of compliance check with routine urgency.,53.1
2024-10-01 10:27:00,System Outage,Moderate,High,Default description of system outage with moderate urgency.,43.1
2024-10-02 04:03:00,Access Request,Critical,Low,Default description of access request with critical urgency.,39.6
2024-10-01 23:44:00,Data Discrepancy,Critical,Low,Default description of data discrepancy with critical urgency.,38.9
2024-10-01 18:55:00,Performance Issue,Low,Low,Default description of performance issue with low urgency.,50.9
2024-10-01 17:05:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,29.2
2024-10-01 20:50:00,Feature Request,Low,Medium,Default description of feature request with low urgency.,57.6
2024-10-01 08:47:00,Hardware Failure,Low,Medium,Default description of hardware failure with low urgency.,27.3
